#title,HAXPES_TEC10E50E H
#dimension,x,y
#x,Binding energy,eV,reverse
#y,Intensity,a.u.
#legend,HAXPES_TEC10E50E

80.6137,875520
80.5637,876866
80.5137,870247
80.4637,880763
80.4137,884800
80.3637,876537
80.3137,886278
80.2637,883136
80.2137,882386
80.1637,878543
80.1137,879209
80.0637,884242
80.0137,891658
79.9637,885258
79.9137,887666
79.8637,885765
79.8137,883995
79.7637,884146
79.7137,888576
79.6637,909039
79.6137,902822
79.5637,892608
79.5137,905377
79.4637,901572
79.4137,894807
79.3637,903884
79.3137,905818
79.2637,906836
79.2137,912651
79.1637,905535
79.1137,901915
79.0637,901145
79.0137,901152
78.9637,911990
78.9137,909111
78.8637,908621
78.8137,918809
78.7637,915370
78.7137,913415
78.6637,914112
78.6137,928974
78.5637,929137
78.5137,930082
78.4637,928696
78.4137,927085
78.3637,933290
78.3137,932962
78.2637,929220
78.2137,931150
78.1637,939651
78.1137,942116
78.0637,945270
78.0137,944763
77.9637,943821
77.9137,954933
77.8637,942120
77.8137,952168
77.7637,961550
77.7137,957437
77.6637,957497
77.6137,949906
77.5637,958946
77.5137,961166
77.4637,968046
77.4137,967099
77.3637,966909
77.3137,966233
77.2637,968241
77.2137,986645
77.1637,986158
77.1137,981317
77.0637,991658
77.0137,999448
76.9637,988758
76.9137,984838
76.8637,1.00674e+06
76.8137,1.01705e+06
76.7637,1.0168e+06
76.7137,1.02296e+06
76.6637,1.02696e+06
76.6137,1.02362e+06
76.5637,1.02887e+06
76.5137,1.03481e+06
76.4637,1.04224e+06
76.4137,1.05941e+06
76.3637,1.06651e+06
76.3137,1.07035e+06
76.2637,1.07115e+06
76.2137,1.08142e+06
76.1637,1.09279e+06
76.1137,1.09976e+06
76.0637,1.11143e+06
76.0137,1.12596e+06
75.9637,1.13377e+06
75.9137,1.14809e+06
75.8637,1.1759e+06
75.8137,1.18539e+06
75.7637,1.18664e+06
75.7137,1.20916e+06
75.6637,1.22599e+06
75.6137,1.24035e+06
75.5637,1.26442e+06
75.5137,1.28238e+06
75.4637,1.30526e+06
75.4137,1.33237e+06
75.3637,1.37435e+06
75.3137,1.40032e+06
75.2637,1.42203e+06
75.2137,1.45877e+06
75.1637,1.48943e+06
