#title,HAXPES_TEC10EA50E_202302 H
#dimension,x,y
#x,Binding energy,eV,reverse
#y,Intensity,a.u.
#legend,HAXPES_TEC10EA50E_202302

80.0812,15841.5
80.0312,15965.1
79.9812,15831.8
79.9312,15912
79.8812,15881.4
79.8312,16001.5
79.7812,16296.8
79.7312,16324.7
79.6812,16182.9
79.6312,16223.2
79.5812,16194.9
79.5312,16448.4
79.4812,16218.6
79.4312,16022.9
79.3812,16346.1
79.3312,16494.1
79.2812,16230.7
79.2312,16325.7
79.1812,16537.3
79.1312,16493.5
79.0812,16522.5
79.0312,16560
78.9812,16426.5
78.9312,16700.2
78.8812,16740
78.8312,16676.9
78.7812,16761.6
78.7312,16900.2
78.6812,16898.2
78.6312,16903.2
78.5812,16801
78.5312,16817.1
78.4812,16853.9
78.4312,16954.7
78.3812,16909.1
78.3312,16909.3
78.2812,17116.8
78.2312,17093.7
78.1812,16905.9
78.1312,17105.4
78.0812,17194.2
78.0312,17290.2
77.9812,17270.7
77.9312,17248.4
77.8812,17429.6
77.8312,17349
77.7812,17388.6
77.7312,17546.9
77.6812,17616.1
77.6312,17585.5
77.5812,17512.6
77.5312,17549.1
77.4812,17473.5
77.4312,17737.7
77.3812,17809.7
77.3312,17818.8
77.2812,17886
77.2312,17682.9
77.1812,17909.1
77.1312,17899.4
77.0812,18148.8
77.0312,18377.5
76.9812,18341.7
76.9312,18231.2
76.8812,18348.4
76.8312,18248.6
76.7812,18342.7
76.7312,18574.4
76.6812,18838.1
76.6312,18991.5
76.5812,18682.9
76.5312,18706
76.4812,19059.2
76.4312,18846
76.3812,19002.7
76.3312,19391.6
76.2812,19517.5
76.2312,19605.9
76.1812,19855.5
76.1312,19827.6
76.0812,20143.9
76.0312,20438.2
75.9812,20483.4
75.9312,20649.6
75.8812,20984.1
75.8312,21520.4
75.7812,21431
75.7312,21868.9
75.6812,22011.8
75.6312,22621.1
75.5812,22993.3
75.5312,23400.9
75.4812,24253.7
75.4312,24664.4
75.3812,24924.9
75.3312,25845.9
75.2812,26261.2
75.2312,26986.3
75.1812,27484.3
75.1312,28575.6
75.0812,29515.8
75.0312,30340.7
74.9812,31153.3
74.9312,32155
74.8812,33489
74.8312,34842.5
74.7812,35962
74.7312,37469.4
74.6812,39057.7
74.6312,40441.6
74.5812,41891.7
74.5312,43555.1
74.4812,44595.4
74.4312,45916.5
74.3812,46244.9
74.3312,44695.8
74.2812,42563.7
74.2312,39737.7
74.1812,36528.2
74.1312,33132
74.0812,30247.7
74.0312,27457.7
73.9812,25458.8
73.9312,23704.7
73.8812,22501.9
73.8312,21811.9
73.7812,21081.7
73.7312,20169.5
73.6812,19949.7
73.6312,19498.1
73.5812,19384.7
73.5312,19269.5
73.4812,19058.7
73.4312,19074.1
73.3812,18795.8
73.3312,18762.4
73.2812,18644.6
73.2312,18788.2
73.1812,19116.3
73.1312,18864.1
73.0812,18996.6
73.0312,18962.4
72.9812,19098.8
72.9312,19026.4
72.8812,19471.4
72.8312,19465.9
72.7812,19576.9
72.7312,19830.4
72.6812,20302.3
72.6312,20447.9
72.5812,20782.3
72.5312,21157.6
72.4812,21468.9
72.4312,21527.7
72.3812,21840.4
72.3312,22634.3
72.2812,23093.7
72.2312,23520.2
72.1812,23933.3
72.1312,24677.7
72.0812,25219.2
72.0312,25801.3
71.9812,26376
71.9312,27392.8
71.8812,28155.9
71.8312,28691.2
71.7812,30176.6
71.7312,31086.9
71.6812,32076.8
71.6312,33480.9
71.5812,34767.5
71.5312,36559.5
71.4812,38042.9
71.4312,39977
71.3812,41247.2
71.3312,43161.4
71.2812,45185.6
71.2312,47381.3
71.1812,49791.9
71.1312,52074.9
71.0812,52959.2
71.0312,52901.8
70.9812,50890.1
70.9312,47560.9
70.8812,43335.5
70.8312,38161.1
70.7812,34131.9
70.7312,30232.1
70.6812,27152
70.6312,24552.5
70.5812,22530
70.5312,20652.1
70.4812,19904.6
70.4312,19102.6
70.3812,18503.6
70.3312,17975.7
70.2812,17484
70.2312,17188.6
70.1812,17272.1
70.1312,16882.7
70.0812,16809
70.0312,16600.1
69.9812,16303.8
69.9312,16316.1
69.8812,16321.9
69.8312,16382.3
69.7812,16318.3
69.7312,16259.8
69.6812,16299.3
69.6312,16352.8
69.5812,16526.4
69.5312,16458.2
69.4812,16487.1
69.4312,16321.6
69.3812,16328.9
69.3312,16511.9
69.2812,16529.7
69.2312,16560.2
69.1812,16682.5
69.1312,16659.8
69.0812,16860.2
69.0312,17002.8
68.9812,16742
68.9312,16478.1
68.8812,16698.2
68.8312,16761.5
68.7812,17031.2
68.7312,17153.5
68.6812,17202.3
68.6312,17088.6
68.5812,17051.8
68.5312,17362.5
68.4812,17185.9
68.4312,17573.6
68.3812,17554.7
68.3312,17396.1
68.2812,17387.2
68.2312,17560.4
68.1812,17732.8
68.1312,17486.5
68.0812,17513.9
68.0312,17490
67.9812,17545.7
67.9312,17536.9
67.8812,17482.7
67.8312,17882.4
67.7812,17756.8
67.7312,17436.8
67.6812,17690.7
67.6312,17820.5
67.5812,17589.2
67.5312,17260.1
67.4812,17587.4
67.4312,17576.4
67.3812,17287.3
67.3312,17244.5
67.2812,17443.4
67.2312,17231.8
67.1812,16977.9
67.1312,17199.4
