#title,HAXPES_TEC10F50E-HT_202302 H
#dimension,x,y
#x,Binding energy,eV,reverse
#y,Intensity,a.u.
#legend,HAXPES_TEC10F50E-HT_202302

80.0275,16135.3
79.9775,16218.1
79.9275,16345.3
79.8775,16113.3
79.8275,16314.9
79.7775,16453.4
79.7275,16523.5
79.6775,16313.5
79.6275,16365.1
79.5775,16458.2
79.5275,16324.7
79.4775,16335.9
79.4275,16602.7
79.3775,16481.9
79.3275,16271.6
79.2775,16688.5
79.2275,16635.5
79.1775,16523.5
79.1275,16563.1
79.0775,16530.2
79.0275,16382.6
78.9775,16630.2
78.9275,16720.4
78.8775,16852.5
78.8275,17068.8
78.7775,16935.7
78.7275,16784.5
78.6775,16764.7
78.6275,16948.1
78.5775,16901.3
78.5275,17005.5
78.4775,16956.7
78.4275,17008.3
78.3775,17229.4
78.3275,17125
78.2775,17019.2
78.2275,17139.1
78.1775,17020.7
78.1275,16907.4
78.0775,17116.5
78.0275,17028.3
77.9775,17453.1
77.9275,17464.6
77.8775,17295.3
77.8275,17468.5
77.7775,17366.5
77.7275,17526
77.6775,17725.3
77.6275,17861.9
77.5775,17484
77.5275,17555.1
77.4775,17800.5
77.4275,17876.3
77.3775,18080.8
77.3275,17749.9
77.2775,17754.9
77.2275,17942.5
77.1775,17890.1
77.1275,17919.6
77.0775,17945.3
77.0275,18274.8
76.9775,18374.8
76.9275,18297
76.8775,18223.8
76.8275,18482.3
76.7775,18452.8
76.7275,18349.1
76.6775,18497.8
76.6275,19015.1
76.5775,18949.8
76.5275,18695.7
76.4775,18914.1
76.4275,19116.4
76.3775,19250.1
76.3275,19408.1
76.2775,19354
76.2275,19614.4
76.1775,19782.8
76.1275,20025.4
76.0775,20241
76.0275,20254.2
75.9775,20350.3
75.9275,20615.1
75.8775,21127.5
75.8275,21301.4
75.7775,21315.8
75.7275,21265.1
75.6775,21463.1
75.6275,22166.7
75.5775,22435
75.5275,22701.8
75.4775,23242.8
75.4275,23709.4
75.3775,24204.8
75.3275,24701.2
75.2775,25460.8
75.2275,25806.6
75.1775,26377
75.1275,27236.5
75.0775,28138.2
75.0275,28993.3
74.9775,29991.7
74.9275,30827.5
74.8775,31815.3
74.8275,33043.7
74.7775,34326.6
74.7275,35452.5
74.6775,36983
74.6275,38061.9
74.5775,39527.2
74.5275,40636.2
74.4775,41781.1
74.4275,42284.7
74.3775,42173.2
74.3275,41590
74.2775,39628.6
74.2275,37314.6
74.1775,34669.3
74.1275,32059.2
74.0775,29799.9
74.0275,27631.8
73.9775,25975.8
73.9275,24003.5
73.8775,23002.4
73.8275,21970.4
73.7775,21349.6
73.7275,20624.3
73.6775,19999.2
73.6275,19630.2
73.5775,19728
73.5275,19096.8
73.4775,18923.1
73.4275,18795.5
73.3775,18833
73.3275,18721.9
73.2775,18584.6
73.2275,18775.2
73.1775,18958.6
73.1275,18616.6
73.0775,18709.7
73.0275,18994
72.9775,18910.1
72.9275,19056.1
72.8775,19284.9
72.8275,19414.9
72.7775,19571.6
72.7275,19518.6
72.6775,19750.3
72.6275,20217.5
72.5775,20387
72.5275,20453.2
72.4775,21010.7
72.4275,21512.1
72.3775,21967.6
72.3275,22196.7
72.2775,22447.2
72.2275,22876
72.1775,23386
72.1275,23934.2
72.0775,24198
72.0275,24560.3
71.9775,25403.4
71.9275,26199.1
71.8775,27065.2
71.8275,27716.6
71.7775,28516.4
71.7275,29449.3
71.6775,30682.7
71.6275,31760
71.5775,32436.3
71.5275,33808.7
71.4775,35885
71.4275,37282.4
71.3775,38742.7
71.3275,40773.1
71.2775,42528.9
71.2275,44432.4
71.1775,45767.3
71.1275,47236.7
71.0775,48492.1
71.0275,48011.4
70.9775,46287.6
70.9275,43625.6
70.8775,40110.6
70.8275,36314.4
70.7775,32486.9
70.7275,29410.2
70.6775,27244.3
70.6275,24736.3
70.5775,22967.3
70.5275,21565.9
70.4775,20558.7
70.4275,19641.2
70.3775,18663.1
70.3275,18173.7
70.2775,17680.4
70.2275,17531.7
70.1775,17291.7
70.1275,16971.6
70.0775,16782.9
70.0275,16450.8
69.9775,16491.6
69.9275,16452.3
69.8775,16210.5
69.8275,16186.1
69.7775,16502.7
69.7275,16274.3
69.6775,16360.9
69.6275,16413.1
69.5775,16470.3
69.5275,16484
69.4775,16332.4
69.4275,16324.9
69.3775,16315.4
69.3275,16445.6
69.2775,16236.8
69.2275,16551.5
69.1775,16837.7
69.1275,16440.5
69.0775,16424.7
69.0275,16567.6
68.9775,16850
68.9275,16908.4
68.8775,16893.2
68.8275,16769.6
68.7775,16890
68.7275,16882
68.6775,16804.3
68.6275,16998.2
68.5775,17009.1
68.5275,17146.1
68.4775,17059.3
68.4275,16933.5
68.3775,16848.4
68.3275,17118.2
68.2775,17173.7
68.2275,17211.5
68.1775,17349.2
68.1275,17235.1
68.0775,17288.7
68.0275,17209.7
67.9775,17144.4
67.9275,17223.6
67.8775,17176
67.8275,17262.3
67.7775,17152.7
67.7275,17222.9
67.6775,17269.6
67.6275,17372.3
67.5775,17299.3
67.5275,17133.9
67.4775,16942.5
67.4275,16745.5
67.3775,16858.4
67.3275,17090.2
67.2775,17084
67.2275,16891.8
67.1775,16933.2
67.1275,17019.1
67.0775,16826.5
