#title,HAXPES_TEC10EA50E_202302 H
#dimension,x,y
#x,Binding energy,eV,reverse
#y,Intensity,a.u.
#legend,HAXPES_TEC10EA50E_202302

16.0812,6824.7
16.0312,6723.69
15.9812,6584.37
15.9312,6747.95
15.8812,6612.95
15.8312,6545.53
15.7812,6622.16
15.7312,6592.04
15.6812,6508.86
15.6312,6542.7
15.5812,6394.98
15.5312,6475.19
15.4812,6480.15
15.4312,6506.67
15.3812,6409.71
15.3312,6573.97
15.2812,6436.8
15.2312,6506.65
15.1812,6547.01
15.1312,6520.78
15.0812,6552.35
15.0312,6547.43
14.9812,6568.68
14.9312,6655.09
14.8812,6658.85
14.8312,6578.43
14.7812,6560.06
14.7312,6642.34
14.6812,6793.36
14.6312,6652.55
14.5812,6714.63
14.5312,6686.42
14.4812,6754.34
14.4312,6832.43
14.3812,6777.33
14.3312,6810.74
14.2812,6753.84
14.2312,6927.36
14.1812,6787.12
14.1312,6786.56
14.0812,6941.41
14.0312,6847.76
13.9812,6916.79
13.9312,6908.16
13.8812,6930.31
13.8312,7059.9
13.7812,6918.07
13.7312,6870.75
13.6812,7040.29
13.6312,6962.91
13.5812,6809.84
13.5312,6794.29
13.4812,6847.32
13.4312,7015.65
13.3812,6939.49
13.3312,6890.64
13.2812,7020.87
13.2312,7036.63
13.1812,7082.76
13.1312,7209.93
13.0812,7142.97
13.0312,6926.17
12.9812,6966.42
12.9312,7040.49
12.8812,7192.76
12.8312,6991.11
12.7812,7024.63
12.7312,7148.39
12.6812,7125.03
12.6312,7170.16
12.5812,7072.52
12.5312,7188.61
12.4812,7275.75
12.4312,7274.87
12.3812,7106.06
12.3312,7187.66
12.2812,7245.87
12.2312,7271.77
12.1812,7214.95
12.1312,7221.72
12.0812,7372.18
12.0312,7353.77
11.9812,7326.2
11.9312,7385.72
11.8812,7500.32
11.8312,7352.82
11.7812,7238.79
11.7312,7263.25
11.6812,7213.7
11.6312,7405.27
11.5812,7479.52
11.5312,7493.43
11.4812,7544.41
11.4312,7603.47
11.3812,7547.15
11.3312,7574.04
11.2812,7580.27
11.2312,7681.96
11.1812,7772.18
11.1312,7674.88
11.0812,7808.46
11.0312,7802.56
10.9812,7730.7
10.9312,7784.69
10.8812,7711.84
10.8312,7710.97
10.7812,8015.32
10.7312,8052.17
10.6812,7933.03
10.6312,8063.06
10.5812,8071.76
10.5312,8029.96
10.4812,8190.27
10.4312,8266.54
10.3812,8303.91
10.3312,8377.62
10.2812,8448.72
10.2312,8469.81
10.1812,8452.27
10.1312,8581.98
10.0812,8562.25
10.0312,8458.91
9.98118,8697.55
9.93118,8847.99
9.88118,8875.74
9.83118,8712.62
9.78118,8700.84
9.73118,9004.18
9.68118,9076.69
9.63118,9053.33
9.58118,9147.89
9.53118,9073.01
9.48118,9123.02
9.43118,9359.05
9.38118,9282.29
9.33118,9337.78
9.28118,9491.77
9.23118,9422.37
9.18118,9546.72
9.13118,9726.26
9.08118,9680.8
9.03118,9779.57
8.98118,9917.34
8.93118,10018.8
8.88118,10082.1
8.83118,10124
8.78118,10269.6
8.73118,10527.2
8.68118,10608.4
8.63118,10947.7
8.58118,10604.9
8.53118,10723.1
8.48118,10799.8
8.43118,10979.6
8.38118,11132.5
8.33118,11356.5
8.28118,11302.9
8.23118,11590.1
8.18118,11602.1
8.13118,11725.5
8.08118,11811.3
8.03118,12010
7.98118,12030.3
7.93118,12141.3
7.88118,12418.5
7.83118,12573.2
7.78118,12852
7.73118,13008.9
7.68118,13258.2
7.63118,13495
7.58118,13471.9
7.53118,13736.8
7.48118,14105
7.43118,14388.7
7.38118,14510
7.33118,14495.1
7.28118,14751.1
7.23118,15072.1
7.18118,15548.3
7.13118,15641.8
7.08118,16012.8
7.03118,16067.4
6.98118,16225.8
6.93118,16323.5
6.88118,16960.5
6.83118,17128.5
6.78118,17375.2
6.73118,17602.9
6.68118,17954.6
6.63118,18290.4
6.58118,18743.6
6.53118,18722.2
6.48118,18872
6.43118,18949.5
6.38118,19186.9
6.33118,19487.2
6.28118,19782.4
6.23118,19674.3
6.18118,19951.9
6.13118,20072.3
6.08118,20360.6
