#title,HAXPES_TEC10F50E-HT_202302 H
#dimension,x,y
#x,Binding energy,eV,reverse
#y,Intensity,a.u.
#legend,HAXPES_TEC10F50E-HT_202302

16.0275,7676.11
15.9775,7724.08
15.9275,7729.43
15.8775,7796.72
15.8275,7623.19
15.7775,7778.99
15.7275,7859.23
15.6775,7681.64
15.6275,7671.47
15.5775,7692.89
15.5275,7738.19
15.4775,7639.18
15.4275,7738.79
15.3775,7577.22
15.3275,7600.45
15.2775,7641.74
15.2275,7650.89
15.1775,7597.16
15.1275,7570.36
15.0775,7629.45
15.0275,7576.76
14.9775,7579.83
14.9275,7545.17
14.8775,7621.73
14.8275,7758.37
14.7775,7649.65
14.7275,7750.39
14.6775,7638.22
14.6275,7595.96
14.5775,7520.23
14.5275,7829.61
14.4775,7815.9
14.4275,7739.57
14.3775,7776.15
14.3275,7785.35
14.2775,7626.15
14.2275,7627.29
14.1775,7649.34
14.1275,7816.05
14.0775,7748.18
14.0275,7725.63
13.9775,7871.37
13.9275,7946.32
13.8775,7921.56
13.8275,7857.42
13.7775,7884.65
13.7275,7907.56
13.6775,7827.52
13.6275,7840.29
13.5775,7925.87
13.5275,7725.42
13.4775,7661.72
13.4275,7777.55
13.3775,7809.64
13.3275,7791.75
13.2775,7960.35
13.2275,8031.17
13.1775,8065.63
13.1275,7997.67
13.0775,7790.04
13.0275,7853.4
12.9775,8021.92
12.9275,8071.35
12.8775,7965.97
12.8275,7930.24
12.7775,7990.46
12.7275,7980.41
12.6775,7935.31
12.6275,7951.12
12.5775,8014.08
12.5275,8119.49
12.4775,8029.01
12.4275,8106.64
12.3775,8064.75
12.3275,8306.44
12.2775,8161.88
12.2275,8223.4
12.1775,8212.89
12.1275,8216.16
12.0775,8326.01
12.0275,8280.37
11.9775,8257.34
11.9275,8298.65
11.8775,8208.2
11.8275,8327.1
11.7775,8305.25
11.7275,8190.3
11.6775,8351
11.6275,8455.41
11.5775,8479.31
11.5275,8392.88
11.4775,8530.87
11.4275,8481.05
11.3775,8520.21
11.3275,8732.56
11.2775,8475.71
11.2275,8712.16
11.1775,8811
11.1275,8856.26
11.0775,8784.22
11.0275,8773.62
10.9775,8745.03
10.9275,8860.88
10.8775,8924.72
10.8275,8933.26
10.7775,9067.6
10.7275,9007.68
10.6775,9155.96
10.6275,9156.05
10.5775,9281.16
10.5275,9281.13
10.4775,9162.3
10.4275,9353.54
10.3775,9332.09
10.3275,9505.31
10.2775,9403.55
10.2275,9394.65
10.1775,9444.09
10.1275,9435.71
10.0775,9569.31
10.0275,9539.14
9.97746,9692.18
9.92746,9612.79
9.87746,9745.6
9.82746,9866.01
9.77746,9845.2
9.72746,10115.5
9.67746,10245.2
9.62746,10130
9.57746,10251.9
9.52746,10329.7
9.47746,10447
9.42746,10332.1
9.37746,10358.2
9.32746,10718.8
9.27746,10500.2
9.22746,10604
9.17746,10849.1
9.12746,10812.7
9.07746,11088.7
9.02746,11192.8
8.97746,11209.9
8.92746,11234.6
8.87746,11450.1
8.82746,11467.6
8.77746,11392.4
8.72746,11619
8.67746,11703.9
8.62746,11536.4
8.57746,11951.9
8.52746,11860.5
8.47746,12026.5
8.42746,11921.7
8.37746,12133.5
8.32746,12372.3
8.27746,12590.4
8.22746,12825.8
8.17746,12909.6
8.12746,12898.1
8.07746,13260.8
8.02746,13096.4
7.97746,13339.1
7.92746,13683.5
7.87746,13917.4
7.82746,13848.1
7.77746,14003.9
7.72746,14245.9
7.67746,14563.1
7.62746,14794.2
7.57746,15106.4
7.52746,15107.7
7.47746,15565.3
7.42746,15658.9
7.37746,15578.1
7.32746,16154.6
7.27746,16469.1
7.22746,16647.5
7.17746,17046.6
7.12746,17127
7.07746,17320.9
7.02746,17564.6
6.97746,17704.6
6.92746,18205.1
6.87746,18400.5
6.82746,18497.2
6.77746,19094.7
6.72746,19350.5
6.67746,19660.9
6.62746,19819.5
6.57746,20226.9
6.52746,20190.3
6.47746,20600.1
6.42746,20941.1
6.37746,20870.4
6.32746,21023.2
6.27746,21179.2
6.22746,21504.1
6.17746,21891.1
6.12746,21505.3
6.07746,21790.5
6.02746,22155.2
5.97746,22251.1
5.92746,22546.4
5.87746,22714.6
5.82746,22742.9
5.77746,23034.5
5.72746,23216.9
5.67746,23049.5
5.62746,23139.7
5.57746,23555.2
5.52746,23813.4
5.47746,24016.5
5.42746,23967.6
5.37746,24307.4
5.32746,24515.1
5.27746,24822.9
5.22746,24955.8
5.17746,24980.6
5.12746,25584.6
5.07746,25921.9
5.02746,25856.7
4.97746,26127.6
4.92746,26619
4.87746,26678.7
4.82746,27198.6
4.77746,27687.1
4.72746,27827.6
4.67746,28124.7
4.62746,28275.6
4.57746,28614
4.52746,28864
4.47746,28834.1
4.42746,28788.3
4.37746,29427.4
4.32746,29436.7
4.27746,29211.2
4.22746,29213.3
4.17746,29457.4
4.12746,29351.7
4.07746,29016.1
4.02746,28962.9
3.97746,28634.4
3.92746,28352.6
3.87746,27731.9
3.82746,26999
3.77746,26496.3
3.72746,26013
3.67746,25683.5
3.62746,25263.2
3.57746,24571.1
3.52746,24119.8
3.47746,23701.5
3.42746,23422.2
3.37746,23296.2
3.32746,23353.2
3.27746,22929.7
3.22746,22790.9
3.17746,23238.5
3.12746,23498.6
3.07746,23526.2
3.02746,23629.3
2.97746,24224.7
2.92746,24534.5
2.87746,24680.6
2.82746,25173.5
2.77746,25528.2
2.72746,25741.6
2.67746,25913.4
2.62746,26217
2.57746,26358.5
2.52746,26512.5
2.47746,26777.3
2.42746,26521.5
2.37746,26716.3
2.32746,26783.3
2.27746,27087.2
2.22746,27383.5
2.17746,27636.2
2.12746,27822.9
2.07746,28356.3
2.02746,28773.4
1.97746,28493
1.92746,28287.9
1.87746,28417.7
1.82746,28770.6
1.77746,28701.8
1.72746,28726.5
1.67746,28312.8
1.62746,27836.6
1.57746,27880.2
1.52746,27725.8
1.47746,27597.9
1.42746,27599.3
1.37746,27324.7
1.32746,27276.2
1.27746,27239.5
1.22746,27298
1.17746,26998.4
1.12746,26993.9
1.07746,26921.5
1.02746,26778.4
0.977462,27118.3
0.927462,27421.1
0.877462,27000.4
0.827462,27157.9
0.777462,27330.7
0.727462,27198.6
0.677462,27661.2
0.627462,27839.1
0.577462,27734.3
0.527462,28261.1
0.477462,28262.4
0.427462,28345.2
0.377462,28642.2
0.327462,28677.5
0.277462,28429.5
0.227462,27855.7
0.177462,26356.3
0.127462,23581.4
0.0774617,19334.4
0.0274617,14396.8
-0.0225383,9479.39
-0.0725383,5456.63
-0.122538,2654.63
-0.172538,1136.52
-0.222538,443.854
-0.272538,176.435
-0.322538,72.0265
-0.372538,29.2094
-0.422538,23.0717
-0.472538,27.5196
-0.522538,38.0106
-0.572538,25.9013
-0.622538,29.2208
-0.672538,29.6987
-0.722538,14.9331
-0.772538,30.2367
-0.822538,15.6064
-0.872538,17.1408
-0.922538,34.6458
-0.972538,38.4629
-1.02254,27.0583
-1.07254,28.4681
-1.12254,40.8423
-1.17254,20.118
-1.22254,28.2993
-1.27254,43.7469
-1.32254,31.6178
-1.37254,17.8983
-1.42254,23.6223
-1.47254,37.3082
-1.52254,27.0059
-1.57254,12.4624
-1.62254,23.1585
-1.67254,22.2796
-1.72254,24.6225
-1.77254,22.241
-1.82254,17.3471
-1.87254,35.4645
-1.92254,29.6095
-1.97254,36.3495
-2.02254,34.4639
-2.07254,33.9522
-2.12254,22.4206
-2.17254,17.0265
-2.22254,17.494
-2.27254,24.6414
-2.32254,21.3064
-2.37254,37.5531
-2.42254,30.474
-2.47254,20.9997
-2.52254,30.5459
-2.57254,19.8293
-2.62254,13.0842
-2.67254,20.6885
-2.72254,27.8969
-2.77254,32.0048
-2.82254,31.4302
-2.87254,19.6775
-2.92254,23.8213
