#title,HAXPES_TEC10F50E H
#dimension,x,y
#x,Binding energy,eV,reverse
#y,Intensity,a.u.
#legend,HAXPES_TEC10F50E

15.9736,39798.7
15.9236,39178.6
15.8736,39224.1
15.8236,38933.7
15.7736,39002.5
15.7236,38764.7
15.6736,38715.5
15.6236,38617.9
15.5736,38554.4
15.5236,38421.4
15.4736,38715.7
15.4236,38328.4
15.3736,38252.7
15.3236,38534.6
15.2736,38664.7
15.2236,38102.5
15.1736,38424.8
15.1236,38325.2
15.0736,38201.7
15.0236,38381.1
14.9736,38493.9
14.9236,38257.4
14.8736,38651.2
14.8236,38680.5
14.7736,38604.4
14.7236,38245.5
14.6736,38373
14.6236,38897
14.5736,38965.4
14.5236,38753.1
14.4736,38648.6
14.4236,39174.3
14.3736,39426.2
14.3236,39310.6
14.2736,39086.2
14.2236,39328.4
14.1736,39315.7
14.1236,39354.5
14.0736,39608.9
14.0236,39607.2
13.9736,39599.5
13.9236,39649.4
13.8736,39704.7
13.8236,39775.1
13.7736,39538.1
13.7236,39479.3
13.6736,39824.9
13.6236,39781.8
13.5736,39948.8
13.5236,39875.6
13.4736,39753.6
13.4236,39772.5
13.3736,39699.1
13.3236,39761.5
13.2736,39963.1
13.2236,39931.3
13.1736,39995.9
13.1236,39851.8
13.0736,40011.2
13.0236,40220.2
12.9736,39982.9
12.9236,40431.3
12.8736,40385.8
12.8236,40192.9
12.7736,40380.3
12.7236,40173.2
12.6736,40522.1
12.6236,40862.4
12.5736,41178.6
12.5236,40890.6
12.4736,40650.7
12.4236,40858.7
12.3736,40935
12.3236,40993.3
12.2736,41048.7
12.2236,40790.8
12.1736,40884.1
12.1236,41478.2
12.0736,41099.8
12.0236,41519
11.9736,41827.5
11.9236,41667.1
11.8736,41935.6
11.8236,41884.7
11.7736,42144.6
11.7236,42089.6
11.6736,42226.4
11.6236,42689.9
11.5736,42916.6
11.5236,42818
11.4736,42697.9
11.4236,43035.4
11.3736,42988.8
11.3236,43400.6
11.2736,43340.5
11.2236,43664.7
11.1736,43612.9
11.1236,43637
11.0736,43759.4
11.0236,44160.8
10.9736,44863.6
10.9236,45038.2
10.8736,44879.9
10.8236,44786
10.7736,45127.4
10.7236,45234.4
10.6736,45372.4
10.6236,45757.2
10.5736,46061.9
10.5236,45728.9
10.4736,46134.5
10.4236,46447.4
10.3736,46748.3
10.3236,46884.7
10.2736,47686.1
10.2236,47642.6
10.1736,48024.2
10.1236,48100.5
10.0736,48336.9
10.0236,48759.5
9.97359,49398.8
9.92359,49568.7
9.87359,49880.9
9.82359,50152
9.77359,50259.1
9.72359,50630.9
9.67359,50909.6
9.62359,51257.4
9.57359,51579.9
9.52359,52386.5
9.47359,52932.4
9.42359,52929.6
9.37359,53040.4
9.32359,53749.1
9.27359,54208.3
9.22359,54301.2
9.17359,55133.5
9.12359,55841.6
9.07359,55615.1
9.02359,55961.7
8.97359,56516.3
8.92359,57159.1
8.87359,57598.9
8.82359,57891
8.77359,58218
8.72359,58932.4
8.67359,59521
8.62359,59710.7
8.57359,60304.6
8.52359,60921.1
8.47359,61475.7
8.42359,62023.3
8.37359,62227.1
8.32359,63067.4
8.27359,63898.4
8.22359,64623.3
8.17359,65660.6
8.12359,66316.8
8.07359,66587
8.02359,67341.5
7.97359,67920.4
7.92359,69268.5
7.87359,70399.3
7.82359,71254.8
7.77359,72251.3
7.72359,73179.2
7.67359,74472.8
7.62359,74880.4
7.57359,75768.9
7.52359,77316
7.47359,77957.9
7.42359,79552.5
7.37359,80671.7
7.32359,81626.2
7.27359,83700.9
7.22359,85284.5
7.17359,86238.7
7.12359,87791.3
7.07359,89013.2
7.02359,90087.2
