530
Dataset measured at BL04B2
0.5 1.14217 0.239935 0.499771 0.260294 
0.55 0.263074 0.239021 0.499731 0.261249 
0.6 -0.297065 0.238025 0.499683 0.262292 
0.65 -0.619618 0.23695 0.499627 0.263423 
0.7 -0.786162 0.235798 0.499562 0.26464 
0.75 -1.01619 0.234571 0.499485 0.265944 
0.8 -1.19567 0.23327 0.499397 0.267333 
0.85 -1.28385 0.231899 0.499296 0.268805 
0.9 -1.33434 0.230459 0.499181 0.27036 
0.95 -1.37336 0.228953 0.499051 0.271997 
1 -1.38489 0.227383 0.498904 0.273713 
1.05 -1.45681 0.225753 0.498739 0.275508 
1.1 -1.38177 0.224064 0.498555 0.27738 
1.15 -1.32357 0.222321 0.498352 0.279327 
1.2 -1.31354 0.220526 0.498127 0.281348 
1.25 -1.18177 0.218681 0.497879 0.28344 
1.3 -1.20348 0.216791 0.497609 0.285601 
1.35 -1.08158 0.214857 0.497313 0.287829 
1.4 -0.956927 0.212885 0.496993 0.290122 
1.45 -0.893235 0.210876 0.496646 0.292478 
1.5 -0.694948 0.208834 0.496272 0.294894 
1.55 -0.672412 0.206762 0.495871 0.297367 
1.6 -0.514223 0.204665 0.495441 0.299895 
1.65 -0.420264 0.202544 0.494982 0.302474 
1.7 -0.357589 0.200403 0.494494 0.305103 
1.75 -0.330145 0.198247 0.493976 0.307777 
1.8 -0.396603 0.196077 0.493429 0.310494 
1.85 -0.727574 0.193897 0.492851 0.313251 
1.9 -0.98097 0.191711 0.492245 0.316045 
1.95 -1.02439 0.189521 0.491608 0.318871 
2 -1.42805 0.18733 0.490942 0.321728 
2.05 -1.5186 0.185141 0.490247 0.324611 
2.1 -1.68827 0.182958 0.489524 0.327518 
2.15 -1.72779 0.180782 0.488774 0.330444 
2.2 -1.75784 0.178617 0.487996 0.333387 
2.25 -1.74778 0.176465 0.487192 0.336343 
2.3 -1.62371 0.174328 0.486363 0.339309 
2.35 -1.72849 0.172208 0.48551 0.342282 
2.4 -1.56827 0.170109 0.484634 0.345257 
2.45 -1.56796 0.168031 0.483736 0.348233 
2.5 -1.18976 0.165977 0.482817 0.351206 
2.55 -0.473709 0.163948 0.481879 0.354173 
2.6 0.439611 0.161946 0.480923 0.35713 
2.65 2.57053 0.159973 0.479951 0.360076 
2.7 5.33926 0.15803 0.478963 0.363007 
2.75 9.52389 0.156118 0.477963 0.36592 
2.8 11.5579 0.154238 0.47695 0.368812 
2.85 8.19355 0.152391 0.475926 0.371682 
2.9 4.89376 0.150579 0.474894 0.374527 
2.95 2.59567 0.148802 0.473854 0.377344 
3 1.68441 0.14706 0.472809 0.380131 
3.05 1.83982 0.145354 0.471759 0.382887 
3.1 2.42824 0.143685 0.470706 0.385608 
3.15 3.50977 0.142053 0.469652 0.388294 
3.2 4.78914 0.140459 0.468598 0.390943 
3.25 4.25182 0.138902 0.467546 0.393552 
3.3 2.33496 0.137383 0.466496 0.396121 
3.35 0.478734 0.135902 0.465451 0.398647 
3.4 -0.404455 0.134458 0.464412 0.40113 
3.45 -1.32791 0.133052 0.463379 0.403568 
3.5 -1.69542 0.131684 0.462355 0.405961 
3.55 -1.75759 0.130354 0.461339 0.408306 
3.6 -1.76985 0.129061 0.460335 0.410604 
3.65 -1.88577 0.127805 0.459342 0.412853 
3.7 -2.0901 0.126587 0.458362 0.415052 
3.75 -2.10076 0.125404 0.457395 0.417201 
3.8 -2.1984 0.124258 0.456443 0.419299 
3.85 -2.13901 0.123148 0.455506 0.421345 
3.9 -2.25452 0.122074 0.454586 0.42334 
3.95 -2.19638 0.121035 0.453684 0.425281 
4 -2.03729 0.12003 0.452799 0.427171 
4.05 -2.15442 0.11906 0.451933 0.429007 
4.1 -2.11944 0.118124 0.451086 0.43079 
4.15 -2.01855 0.117222 0.45026 0.432519 
4.2 -1.82838 0.116352 0.449454 0.434195 
4.25 -1.68062 0.115515 0.448669 0.435816 
4.3 -1.30132 0.11471 0.447906 0.437385 
4.35 -0.736697 0.113936 0.447164 0.438899 
4.4 0.60379 0.113194 0.446445 0.440361 
4.45 1.88594 0.112482 0.44575 0.441769 
4.5 4.29907 0.1118 0.445077 0.443123 
4.55 5.27388 0.111148 0.444427 0.444425 
4.6 4.26796 0.110525 0.443801 0.445675 
4.65 2.40681 0.10993 0.443198 0.446872 
4.7 0.819814 0.109363 0.44262 0.448017 
4.75 -0.135442 0.108824 0.442065 0.449111 
4.8 -0.624061 0.108311 0.441534 0.450155 
4.85 -0.831815 0.107825 0.441027 0.451148 
4.9 -0.857995 0.107365 0.440544 0.452091 
4.95 -0.761059 0.10693 0.440084 0.452985 
5 -0.535036 0.10652 0.439649 0.453832 
5.05 -0.102446 0.106134 0.439236 0.45463 
5.1 0.657539 0.105771 0.438847 0.455382 
5.15 1.97896 0.105432 0.438481 0.456087 
5.2 3.92817 0.105115 0.438137 0.456747 
5.25 6.44689 0.10482 0.437817 0.457363 
5.3 8.8486 0.104547 0.437518 0.457935 
5.35 9.45076 0.104294 0.437241 0.458465 
5.4 7.46686 0.104062 0.436985 0.458953 
5.45 5.14388 0.103849 0.43675 0.459401 
5.5 3.86098 0.103656 0.436536 0.459808 
5.55 3.31667 0.103481 0.436342 0.460177 
5.6 2.39635 0.103325 0.436167 0.460508 
5.65 1.02393 0.103185 0.436012 0.460803 
5.7 -0.158754 0.103063 0.435875 0.461062 
5.75 -0.896137 0.102957 0.435756 0.461286 
5.8 -1.35231 0.102868 0.435655 0.461477 
5.85 -1.58301 0.102793 0.435571 0.461636 
5.9 -1.72335 0.102733 0.435504 0.461763 
5.95 -1.77421 0.102688 0.435452 0.46186 
6 -1.84356 0.102656 0.435416 0.461928 
6.05 -1.85885 0.102638 0.435395 0.461967 
6.1 -1.84019 0.102632 0.435388 0.46198 
6.15 -1.78184 0.102639 0.435395 0.461966 
6.2 -1.68845 0.102658 0.435415 0.461928 
6.25 -1.5051 0.102687 0.435447 0.461865 
6.3 -1.22526 0.102728 0.435492 0.46178 
6.35 -0.858983 0.102779 0.435548 0.461673 
6.4 -0.532716 0.102839 0.435615 0.461545 
6.45 -0.418917 0.10291 0.435693 0.461397 
6.5 -0.63837 0.102989 0.435781 0.46123 
6.55 -0.9095 0.103076 0.435878 0.461046 
6.6 -1.0608 0.103172 0.435984 0.460844 
6.65 -1.11051 0.103276 0.436099 0.460626 
6.7 -1.00058 0.103387 0.436221 0.460392 
6.75 -0.741692 0.103505 0.436351 0.460144 
6.8 -0.224544 0.103629 0.436488 0.459883 
6.85 0.646631 0.10376 0.436632 0.459608 
6.9 1.93411 0.103896 0.436782 0.459322 
6.95 3.42467 0.104038 0.436937 0.459024 
7 4.75032 0.104185 0.437098 0.458716 
7.05 5.33579 0.104337 0.437264 0.458398 
7.1 5.379 0.104494 0.437435 0.458071 
7.15 5.35354 0.104655 0.43761 0.457736 
7.2 4.91116 0.104819 0.437788 0.457392 
7.25 3.46029 0.104988 0.437971 0.457042 
7.3 1.68842 0.10516 0.438156 0.456684 
7.35 0.426775 0.105335 0.438345 0.456321 
7.4 -0.248509 0.105512 0.438536 0.455952 
7.45 -0.642178 0.105693 0.438729 0.455578 
7.5 -0.801606 0.105876 0.438925 0.455199 
7.55 -0.845273 0.106061 0.439123 0.454817 
7.6 -0.746401 0.106248 0.439322 0.45443 
7.65 -0.466441 0.106437 0.439522 0.454041 
7.7 -0.0335124 0.106627 0.439724 0.453649 
7.75 0.615728 0.106819 0.439927 0.453254 
7.8 1.45327 0.107012 0.440131 0.452857 
7.85 2.15826 0.107206 0.440335 0.452459 
7.9 2.27419 0.107402 0.440539 0.452059 
7.95 1.68272 0.107598 0.440744 0.451658 
8 0.9609 0.107794 0.440949 0.451257 
8.05 0.381201 0.107991 0.441154 0.450855 
8.1 0.169658 0.108189 0.441359 0.450452 
8.15 0.315117 0.108387 0.441564 0.45005 
8.2 0.758398 0.108585 0.441768 0.449648 
8.25 1.40298 0.108783 0.441972 0.449246 
8.3 2.22869 0.108981 0.442175 0.448845 
8.35 2.60112 0.109178 0.442377 0.448445 
8.4 2.19786 0.109376 0.442579 0.448045 
8.45 1.27799 0.109573 0.442779 0.447647 
8.5 0.278986 0.10977 0.442979 0.447251 
8.55 -0.352517 0.109967 0.443178 0.446855 
8.6 -0.712516 0.110163 0.443376 0.446461 
8.65 -0.909371 0.110358 0.443573 0.44607 
8.7 -1.00571 0.110553 0.443768 0.445679 
8.75 -1.0366 0.110747 0.443962 0.445291 
8.8 -1.00156 0.11094 0.444155 0.444905 
8.85 -0.879128 0.111132 0.444347 0.444521 
8.9 -0.707658 0.111324 0.444537 0.444139 
8.95 -0.444853 0.111515 0.444726 0.443759 
9 -0.194144 0.111704 0.444913 0.443382 
9.05 0.0790245 0.111893 0.445099 0.443007 
9.1 0.228906 0.112081 0.445284 0.442635 
9.15 0.2172 0.112268 0.445467 0.442265 
9.2 0.128567 0.112453 0.445648 0.441898 
9.25 0.285031 0.112638 0.445828 0.441534 
9.3 0.754701 0.112821 0.446007 0.441172 
9.35 1.52342 0.113004 0.446184 0.440813 
9.4 2.5688 0.113185 0.446359 0.440456 
9.45 3.66545 0.113365 0.446532 0.440103 
9.5 4.39196 0.113544 0.446705 0.439752 
9.55 4.31455 0.113721 0.446875 0.439404 
